aircraft,state,date,length,speed,heading,altitude
VH-LAB,WA,8/01/2022 07:07:41,32.4,216.6,199.9,23261.0
VH-LAB,WA,8/01/2022 07:16:38,36.4,218.6,201.0,23258.0
VH-LAB,WA,8/01/2022 07:30:27,34.0,231.5,21.8,23255.0
VH-LAB,WA,8/01/2022 07:39:23,36.6,229.0,20.3,23264.0
VH-LAB,WA,8/01/2022 07:52:34,37.8,221.0,201.6,23278.0
VH-LAB,WA,8/01/2022 08:02:50,37.7,220.8,201.6,23278.0
VH-LAB,WA,7/01/2022 13:54:13,6.5,240.7,343.0,21145.0
VH-LAB,WA,7/01/2022 15:07:42,36.3,238.1,24.5,21253.0
VH-LAB,WA,7/01/2022 15:16:49,33.4,239.3,24.3,21266.0
VH-LAB,WA,7/01/2022 15:27:34,32.7,227.3,204.8,21263.0
VH-LAB,WA,7/01/2022 15:44:20,36.6,237.0,205.9,21250.0
VH-LAB,WA,7/01/2022 15:56:05,31.2,240.8,24.6,21250.0
VH-LAB,WA,7/01/2022 16:03:52,27.1,239.6,24.9,21253.0
VH-LAB,WA,7/01/2022 16:13:49,21.9,239.0,204.3,21253.0
VH-LAB,WA,7/01/2022 16:19:25,35.5,239.5,205.3,21240.0
VH-LAB,WA,7/01/2022 16:30:36,32.2,246.5,24.5,21243.0
VH-LAB,WA,7/01/2022 16:38:23,20.2,243.1,24.2,21247.0
VH-LAB,WA,7/01/2022 17:14:16,17.8,222.7,216.1,21243.0
VH-LAB,WA,7/01/2022 17:21:30,20.8,229.1,35.9,21243.0
VH-LAB,NONE,9/01/2022 15:20:06,33.0,240.7,19.7,27425.0
VH-LAB,WA,9/01/2022 15:28:24,32.7,228.3,19.8,27441.0
VH-LAB,WA,9/01/2022 15:36:56,12.3,235.7,18.9,27470.0
VH-LAB,WA,9/01/2022 15:42:54,29.8,227.8,199.6,27454.0
VH-LAB,WA,9/01/2022 15:54:51,18.2,219.6,199.2,27441.0
VH-LAB,WA,9/01/2022 15:59:47,16.6,221.4,199.2,27418.0
VH-LAB,WA,9/12/2021 14:15:58,19.8,202.5,178.9,10495.0
VH-LAB,WA,9/12/2021 14:26:52,16.4,206.5,183.4,10505.0
VH-LAB,WA,9/12/2021 14:36:12,18.5,175.6,3.2,10479.0
VH-LAB,WA,9/12/2021 14:47:51,18.9,209.2,190.5,10486.0
VH-LAB,WA,9/12/2021 15:04:47,9.8,202.8,56.0,10502.0
VH-LAB,WA,9/12/2021 15:14:57,11.4,185.8,340.1,10518.0
VH-LAB,WA,9/12/2021 15:21:08,10.2,192.2,158.2,10522.0
VH-LAB,WA,10/01/2022 06:24:46,23.2,235.9,70.7,27480.0
VH-LAB,WA,10/01/2022 07:08:01,35.3,251.8,29.4,27484.0
VH-LAB,WA,10/01/2022 07:16:26,35.3,253.4,29.6,27503.0
VH-LAB,WA,10/01/2022 07:28:52,36.4,236.3,208.9,27523.0
VH-LAB,WA,10/01/2022 07:38:05,34.0,239.2,209.0,27516.0
VH-LAB,WA,10/01/2022 07:50:07,70.4,257.3,29.1,27510.0
VH-LAB,WA,10/01/2022 08:14:11,35.2,243.1,209.0,25404.0
VH-LAB,WA,10/01/2022 08:22:55,34.5,241.6,209.5,25384.0
VH-ZMP,VIC,11/01/2022 19:01:00,5.1,213.5,294.1,16791.0
VH-ZMP,VIC,11/01/2022 19:37:24,10.7,218.3,317.3,11667.0
VH-ZMP,VIC,11/01/2022 19:45:31,9.2,184.5,129.5,11617.0
VH-LAB,WA,11/01/2022 21:59:03,8.7,218.9,132.4,12625.0
VH-LAB,WA,12/01/2022 03:39:26,6.4,231.8,197.3,11572.0
VH-LAB,WA,12/01/2022 04:02:43,5.0,187.6,311.8,12579.0
VH-LAB,WA,12/01/2022 04:09:19,4.6,220.5,82.5,12579.0
VH-LAB,WA,9/01/2022 17:49:58,22.9,233.6,71.2,21122.0
VH-LAB,WA,9/01/2022 17:59:19,24.7,235.4,249.5,21119.0
VH-LAB,WA,9/01/2022 18:29:07,28.1,231.6,198.9,21122.0
VH-LAB,WA,9/01/2022 18:36:22,41.7,229.5,199.0,21102.0
VH-LAB,WA,9/01/2022 18:58:13,34.9,254.0,19.0,21119.0
VH-LAB,WA,9/01/2022 19:06:33,37.0,239.4,19.0,21132.0
VH-LAB,WA,9/01/2022 19:21:55,30.6,219.1,198.9,21129.0
VH-LAB,WA,9/01/2022 19:30:16,41.4,230.9,199.4,21129.0
VH-LAB,WA,9/01/2022 19:46:06,35.5,237.0,19.7,21122.0
VH-LAB,WA,9/01/2022 19:55:04,38.0,230.9,18.3,21155.0
VH-LAB,WA,9/01/2022 20:09:49,31.4,235.3,199.4,21145.0
VH-LAB,WA,9/01/2022 20:17:55,41.7,230.6,201.1,21138.0
VH-LAB,WA,10/12/2021 12:41:05,25.3,184.3,179.9,10318.0
VH-LAB,WA,10/12/2021 12:52:49,24.6,179.3,0.6,10318.0
VH-LAB,WA,10/12/2021 13:09:16,24.6,178.6,173.7,10305.0
VH-LAB,WA,10/12/2021 13:19:47,22.5,172.0,354.4,10295.0
VH-LAB,WA,10/12/2021 13:30:12,24.2,181.7,173.9,10295.0
VH-LAB,WA,10/12/2021 13:40:54,23.5,178.3,353.4,10289.0
VH-LAB,WA,10/12/2021 13:51:20,24.1,187.6,173.8,10285.0
VH-LAB,WA,10/12/2021 12:41:05,25.3,184.3,179.9,10318.0
VH-LAB,WA,10/12/2021 12:52:49,24.6,179.3,0.6,10318.0
VH-LAB,WA,10/12/2021 13:09:16,24.6,178.6,173.7,10305.0
VH-LAB,WA,10/12/2021 13:19:47,22.5,172.0,354.4,10295.0
VH-LAB,WA,10/12/2021 13:30:12,24.2,181.7,173.9,10295.0
VH-LAB,WA,10/12/2021 13:40:54,23.5,178.3,353.4,10289.0
VH-LAB,WA,10/12/2021 13:51:20,24.1,187.6,173.8,10285.0
VH-LAB,WA,13/01/2022 17:55:19,5.9,274.9,78.4,24344.0
VH-LAB,WA,13/01/2022 18:29:36,29.8,258.5,57.3,23343.0
VH-LAB,WA,13/01/2022 18:46:40,50.9,227.2,238.3,23346.0
VH-LAB,WA,13/01/2022 19:02:34,50.7,259.9,58.2,23323.0
VH-LAB,WA,13/01/2022 19:21:38,26.5,228.9,229.9,23327.0
VH-LAB,WA,11/01/2022 03:09:02,3.6,214.4,194.1,11493.0
VH-LAB,WA,11/01/2022 03:33:00,5.3,193.2,289.6,11447.0
VH-LAB,WA,11/01/2022 04:55:34,5.8,248.1,1.2,28556.0
VH-LAB,WA,11/01/2022 05:29:57,32.6,242.2,23.6,22264.0
VH-LAB,WA,11/01/2022 05:37:54,38.9,244.9,23.8,22277.0
VH-LAB,WA,11/01/2022 05:49:55,31.5,243.7,202.9,22283.0
VH-LAB,WA,11/01/2022 05:57:41,36.1,243.2,203.2,22270.0
VH-LAB,WA,11/01/2022 06:10:26,31.4,247.2,23.9,22274.0
VH-LAB,WA,11/01/2022 06:18:01,39.8,246.8,23.1,22277.0
VH-LAB,WA,11/01/2022 06:30:24,30.0,244.4,203.4,22300.0
VH-LAB,WA,11/01/2022 06:37:48,40.9,242.0,203.2,22290.0
VH-LAB,WA,11/01/2022 06:50:37,5.0,249.4,23.2,22280.0
VH-LAB,WA,11/01/2022 06:51:51,29.5,250.2,22.8,22297.0
VH-LAB,WA,11/01/2022 06:58:56,36.7,250.5,22.8,22306.0
VH-LAB,WA,11/01/2022 07:10:23,28.2,240.7,202.7,22287.0
VH-LAB,WA,11/01/2022 07:17:26,42.8,242.7,203.3,22313.0
VH-LAB,WA,14/01/2022 04:12:18,56.3,261.2,62.8,23182.0
VH-LAB,WA,14/01/2022 04:28:10,55.0,214.1,242.0,23176.0
VH-LAB,WA,14/01/2022 04:47:15,49.3,263.4,62.9,23186.0
VH-LAB,WA,14/01/2022 05:07:39,19.7,199.4,253.0,23169.0
VH-LAB,WA,15/01/2022 03:13:03,5.5,242.1,355.8,25253.0
VH-LAB,WA,15/01/2022 03:47:02,28.2,222.5,282.4,21050.0
VH-LAB,WA,15/01/2022 03:59:49,29.9,248.9,167.4,21043.0
VH-LAB,WA,15/01/2022 04:11:16,28.1,237.0,30.5,21050.0
VH-LAB,WA,15/01/2022 04:36:42,26.5,238.3,210.5,21040.0
VH-LAB,WA,18/12/2021 02:22:07,9.4,290.5,89.5,19505.0
VH-LAB,WA,18/12/2021 03:05:52,7.2,293.5,87.1,19505.0
VH-LAB,WA,18/12/2021 03:24:35,12.5,248.9,111.7,19554.0
VH-LAB,WA,18/12/2021 03:37:56,9.8,184.1,333.3,19564.0
VH-LAB,WA,18/12/2021 03:51:00,16.9,246.9,119.5,19606.0
VH-LAB,WA,18/12/2021 03:59:04,15.9,174.6,299.8,19606.0
VH-LAB,WA,13/01/2022 23:18:48,37.3,231.4,20.6,23392.0
VH-LAB,WA,13/01/2022 23:28:31,31.2,231.8,20.2,23402.0
VH-LAB,WA,13/01/2022 23:39:20,29.9,231.5,201.2,23422.0
VH-LAB,WA,13/01/2022 23:47:07,34.6,230.2,200.8,23399.0
VH-LAB,WA,13/01/2022 23:58:56,31.5,229.9,20.8,23406.0
VH-LAB,WA,14/01/2022 00:07:10,36.0,229.2,20.8,23383.0
VH-LAB,WA,14/01/2022 00:23:40,38.2,233.0,200.5,23379.0
VH-LAB,WA,14/01/2022 00:33:33,34.0,232.0,200.9,23379.0
VH-LAB,WA,14/01/2022 00:45:29,28.7,232.1,21.6,23373.0
VH-LAB,WA,14/01/2022 00:52:58,43.6,229.0,20.8,23350.0
VH-LAB,WA,14/01/2022 01:07:00,49.2,229.8,202.0,23373.0
VH-LAB,WA,14/01/2022 01:19:49,16.7,233.5,200.9,23356.0
VH-LAB,WA,12/01/2022 20:21:13,5.1,230.3,345.0,24472.0
VH-LAB,WA,12/01/2022 20:30:34,5.1,233.7,343.8,24478.0
VH-LAB,WA,12/01/2022 21:06:41,8.0,247.7,3.8,24551.0
VH-LAB,WA,12/01/2022 21:30:48,43.5,240.2,23.0,24583.0
VH-LAB,WA,12/01/2022 21:41:39,36.4,239.8,22.1,24593.0
VH-LAB,WA,12/01/2022 21:53:48,36.9,240.0,201.3,24587.0
VH-LAB,WA,12/01/2022 22:03:00,41.6,240.6,202.1,24583.0
VH-LAB,WA,12/01/2022 22:16:28,43.2,239.1,21.4,24577.0
VH-LAB,WA,12/01/2022 22:27:19,33.6,238.8,22.7,24573.0
VH-LAB,WA,12/01/2022 22:38:48,37.2,236.8,203.1,24557.0
VH-LAB,WA,12/01/2022 22:48:14,39.2,239.9,202.2,24564.0
VH-LAB,WA,12/01/2022 23:01:09,38.5,237.9,23.2,24557.0
VH-LAB,WA,12/01/2022 23:10:48,36.5,240.8,21.6,24560.0
VH-LAB,WA,12/01/2022 23:22:48,36.6,235.6,202.1,24567.0
VH-LAB,WA,12/01/2022 23:32:04,35.8,239.8,202.4,24554.0
VH-ZMP,VIC,19/12/2021 17:23:12,3.3,223.8,316.6,26594.0
VH-ZMP,VIC,19/12/2021 17:54:50,16.5,266.9,53.8,10115.0
VH-ZMP,VIC,19/12/2021 18:03:42,11.5,185.1,318.1,10131.0
VH-ZMP,VIC,19/12/2021 18:14:05,8.5,267.6,62.2,10112.0
VH-LAB,WA,16/12/2021 17:00:54,21.7,209.2,88.7,15285.0
VH-LAB,WA,16/12/2021 17:19:38,22.0,218.6,103.4,15374.0
VH-LAB,WA,16/12/2021 17:28:38,22.4,178.5,282.4,15377.0
VH-LAB,WA,16/12/2021 17:54:18,13.8,159.2,359.5,14390.0
VH-LAB,WA,16/12/2021 18:16:21,4.3,182.9,282.6,14383.0
VH-LAB,WA,16/12/2021 18:19:54,7.2,172.2,300.1,14367.0
VH-LAB,WA,16/12/2021 18:35:31,22.5,180.8,282.2,15358.0
VH-LAB,WA,16/12/2021 18:54:50,18.2,204.3,237.6,15325.0
VH-LAB,WA,16/12/2021 19:05:50,8.5,182.1,354.2,15308.0
VH-LAB,WA,16/12/2021 19:25:17,18.7,174.6,298.7,15240.0
VH-LAB,WA,23/12/2021 10:22:31,4.1,185.1,116.9,16572.0
VH-LAB,WA,23/12/2021 10:32:08,19.9,242.3,269.7,21099.0
VH-LAB,WA,23/12/2021 10:49:44,23.8,231.4,94.5,21099.0
VH-LAB,WA,23/12/2021 10:58:27,22.1,245.1,274.8,21099.0
VH-LAB,WA,23/12/2021 11:06:40,22.4,231.9,95.5,21086.0
VH-LAB,WA,23/12/2021 11:20:34,13.6,218.8,144.0,21079.0
VH-LAB,WA,23/12/2021 11:26:39,13.4,260.0,326.1,21079.0
VH-LAB,WA,23/12/2021 11:37:05,9.0,227.4,120.9,21086.0
VH-LAB,WA,23/12/2021 11:43:05,8.1,254.1,301.9,21073.0
VH-LAB,WA,23/12/2021 11:51:28,14.7,220.2,180.1,21066.0
VH-LAB,WA,23/12/2021 11:57:49,12.9,258.7,2.2,21073.0
VH-LAB,WA,23/12/2021 12:05:58,14.7,240.8,90.9,21070.0
VH-LAB,WA,23/12/2021 12:12:01,15.7,243.9,270.7,21076.0
VH-LAB,WA,14/01/2022 13:33:16,9.2,231.2,343.9,25262.0
VH-LAB,WA,14/01/2022 15:08:53,21.1,187.5,290.2,10755.0
VH-LAB,WA,14/01/2022 15:18:22,9.5,222.7,109.7,10764.0
VH-LAB,WA,14/01/2022 15:27:08,40.3,208.7,181.0,10751.0
VH-LAB,WA,14/01/2022 15:41:34,36.6,208.2,27.1,10738.0
VH-LAB,WA,14/01/2022 16:00:52,19.8,204.4,181.0,10748.0
VH-LAB,WA,14/01/2022 16:09:59,18.6,198.3,0.2,10732.0
VH-LAB,WA,14/01/2022 16:22:34,25.2,199.4,202.8,10722.0
VH-LAB,WA,26/12/2021 22:55:21,1.7,205.9,86.9,10735.0
VH-LAB,WA,26/12/2021 22:59:28,6.2,201.7,269.2,10748.0
VH-LAB,WA,26/12/2021 23:40:45,7.3,212.9,90.0,15938.0
VH-LAB,WA,27/12/2021 00:26:56,4.9,203.9,268.2,10679.0
VH-LAB,WA,27/12/2021 01:09:56,6.8,210.4,90.3,10656.0
VH-LJQ,NSW,25/12/2021 13:07:25,9.6,342.9,301.8,23957.0
VH-LJQ,NSW,25/12/2021 13:45:44,14.9,305.1,222.9,23061.0
VH-LJQ,NSW,25/12/2021 14:19:36,21.0,310.6,201.0,23051.0
VH-LJQ,NSW,25/12/2021 14:30:55,18.5,325.0,21.1,23051.0
VH-LAB,WA,27/12/2021 05:53:06,2.0,222.2,72.6,10640.0
VH-LAB,WA,27/12/2021 05:58:07,5.2,203.6,269.7,10643.0
VH-LAB,WA,27/12/2021 06:42:00,6.3,210.9,92.0,10551.0
VH-LAB,WA,27/12/2021 06:48:25,4.1,199.5,207.5,10554.0
VH-LAB,WA,27/12/2021 06:58:31,5.2,208.9,56.4,10551.0
VH-LAB,WA,27/12/2021 20:50:24,14.5,207.2,268.9,10673.0
VH-LAB,WA,27/12/2021 21:32:40,12.3,216.6,90.0,10620.0
VH-LJQ,NSW,26/12/2021 07:01:53,18.2,287.9,41.9,15722.0
VH-LJQ,NSW,26/12/2021 07:11:30,18.3,251.6,222.3,15712.0
VH-LJQ,NSW,26/12/2021 07:21:56,16.2,285.3,39.6,15712.0
VH-LJQ,NSW,26/12/2021 07:58:37,17.6,258.8,202.6,15712.0
VH-LJQ,NSW,26/12/2021 08:08:27,17.3,282.4,22.1,15719.0
VH-LJQ,NSW,26/12/2021 08:17:34,17.6,256.2,202.2,15712.0
VH-LAB,WA,22/12/2021 12:56:58,4.3,242.5,3.5,16923.0
VH-LAB,WA,22/12/2021 13:13:06,14.0,232.7,349.3,17992.0
VH-LAB,WA,22/12/2021 13:19:16,5.9,234.2,347.4,17982.0
VH-LAB,WA,22/12/2021 13:25:27,19.8,234.6,359.5,18018.0
VH-LAB,WA,22/12/2021 13:33:18,19.7,217.5,178.5,17989.0
VH-LAB,WA,22/12/2021 13:49:34,18.8,236.7,358.7,17982.0
VH-LAB,WA,22/12/2021 14:22:46,18.0,215.6,213.9,17986.0
VH-LAB,WA,22/12/2021 14:30:44,18.6,253.1,33.8,17982.0
VH-LAB,WA,22/12/2021 15:04:58,29.6,197.0,283.3,15866.0
VH-LAB,WA,22/12/2021 15:19:38,24.5,237.2,103.2,15869.0
VH-LAB,WA,22/12/2021 15:30:34,29.7,203.3,280.6,15837.0
VH-LAB,WA,22/12/2021 15:45:18,8.9,229.0,335.1,15915.0
VH-LAB,WA,22/12/2021 15:47:44,12.6,223.0,334.7,15837.0
VH-LAB,WA,22/12/2021 15:58:59,27.9,227.8,155.0,15866.0
VH-LAB,WA,22/12/2021 16:10:30,17.5,213.6,334.1,15856.0
VH-LAB,WA,22/12/2021 16:24:16,24.7,209.2,276.2,15873.0
VH-LAB,WA,22/12/2021 16:35:49,21.1,237.6,95.3,15863.0
VH-LAB,WA,22/12/2021 16:46:45,24.5,208.8,276.0,15879.0
